!ENTER	[] sil
!EXIT	[] sil
sil		sil 
c0aalliieennxxNN	c0 aa ll ii ee nn xx nn sp
c0aalliillxxLL	c0 aa ll ii ll xx ll sp
c0aangchiillxxLL	c0 aa ng ch ii ll xx ll sp
c0aangk0iiphaaNNt0oo	c0 aa ng k0 ii ph aa nn t0 oo sp
c0aangllxx	c0 aa ng nn xx sp
c0aangs0aak0aa	c0 aa ng s0 aa k0 aa sp
c0aangs0aallxxLL	c0 aa ng s0 aa ll xx ll sp
c0aas0eehhii	c0 aa s0 ee hh ii sp
c0aas0iiNNiiLL	c0 aa s0 ii nn ii ll sp
c0aayus0xxllvvNN	c0 aa yu s0 xx ll vv nn sp
c0aayvNNk0wa	c0 aa yv nn k0 wa sp
c0aayvNNs0xxllvvP0k0ee	c0 aa yv nn s0 xx ll vv p0 kk ee sp
c0ee	c0 ee sp
c0eechaangc0oot0weNN	c0 ee ch aa ng c0 oo t0 we nn sp
c0eechooK0hhaaNNt0aak0oo	c0 ee ch oo kh aa nn t0 aa k0 oo sp
c0eechooK0xxLL	c0 ee ch oo k0 xx ll sp
c0eek0aaK0k0ii	c0 ee k0 aa k0 kk ii sp
c0eek0uus0vvngt0weNN	c0 ee k0 uu s0 vv ng t0 we nn sp
c0eek0wac0vvMMeellxxLL	c0 ee k0 wa c0 vv mm ee ll xx ll sp
c0eemmiiiiSSnnxxNN	c0 ee mm ii ii nn nn xx nn sp
c0eemmvvS0t0eelloo	c0 ee mm vv t0 tt ee ll oo sp
c0ees0iihhaak0ooc0aa	c0 ee s0 ii hh aa k0 oo c0 aa sp
c0eet0eelloo	c0 ee t0 ee ll oo sp
c0ii	c0 ii sp
c0iiK0c0vvP0	c0 ii k0 cc vv p0 sp
c0iiK0hhuuee	c0 ii kh uu ee sp
c0iiLL	c0 ii ll sp
c0iiLLllvv	c0 ii ll ll vv sp
c0iiLLs0eeK0iivvSSt0aa	c0 ii ll s0 ee k0 ii vv t0 tt aa sp
c0iiMMs0xxngii	c0 ii mm s0 xx ng ii sp
c0iiMMs0xxngt0oo	c0 ii mm s0 xx ng t0 oo sp
c0iiNN	c0 ii nn sp
c0iiNNt0aaLLlleek0aa	c0 ii nn t0 aa ll ll ee k0 aa sp
c0iiP0c0uungxxLL	c0 ii p0 cc uu ng xx ll sp
c0iiP0ee	c0 ii p0 ee sp
c0iiP0ees0vv	c0 ii p0 ee s0 vv sp
c0iiP0vv	c0 ii p0 vv sp
c0iiS0ii	c0 ii s0 ii sp
c0iiS0k0oo	c0 ii t0 kk oo sp
c0iiTHk0oo	c0 ii t0 kk oo sp
c0iic0vvk0wik0oo	c0 ii c0 vv k0 wi k0 oo sp
c0iichiiNN	c0 ii ch ii nn sp
c0iichiik0oo	c0 ii ch ii k0 oo sp
c0iichvvNNxxlloo	c0 ii ch vv nn xx ll oo sp
c0iichyv	c0 ii ch yv sp
c0iihhyangc0vvMMxxLL	c0 ii hh ya ng c0 vv mm xx ll sp
c0iihhyet0aa	c0 ii hh ye t0 aa sp
c0iihhyet0oo	c0 ii hh ye t0 oo sp
c0iik0oo	c0 ii k0 oo sp
c0iik0xxMMkkaac0ii	c0 ii k0 xx mm kk aa c0 ii sp
c0iik0xxMMxxNN	c0 ii k0 xx mm xx nn sp
c0iik0yvP0t0oollooK0	c0 ii k0 yv p0 tt oo ll oo k0 sp
c0iik0yvngiit0aa	c0 ii k0 yv ng ii t0 aa sp
c0iilluuhhaak0oo	c0 ii ll uu hh aa k0 oo sp
c0iingk0vvMMt0aallii	c0 ii ng k0 vv mm t0 aa ll ii sp
c0iingk0vvMMt0aalliillxxLL	c0 ii ng k0 vv mm t0 aa ll ii ll xx ll sp
c0iinnaaSSt0aak0oo	c0 ii nn aa t0 tt aa k0 oo sp
c0iinnaac0ii	c0 ii nn aa c0 ii sp
c0iinnaak0aannxxNN	c0 ii nn aa k0 aa nn xx nn sp
c0iinniiNN	c0 ii nn ii nn sp
c0iip0uung	c0 ii p0 uu ng sp
c0iiphyvSSt0aa	c0 ii ph yv t0 tt aa sp
c0iis0iiK0	c0 ii s0 ii k0 sp
c0iis0iiK0iit0aa	c0 ii s0 ii k0 ii t0 aa sp
c0iis0iiK0xxLL	c0 ii s0 ii k0 xx ll sp
c0iis0iiK0xxNN	c0 ii s0 ii k0 xx nn sp
c0iiwvc0iik0oo	c0 ii wv c0 ii k0 oo sp
c0iixxNN	c0 ii xx nn sp
c0ooHHaahheeSSk0oo	c0 oo aa hh ee t0 kk oo sp
c0ooHHaahheeSSt0aa	c0 oo aa hh ee t0 tt aa sp
c0ooHHk0eeSSt0aa	c0 oo kh ee t0 tt aa sp
c0ooHHt0aannxxNN	c0 oo th aa nn xx nn sp
c0ooHHt0aannxxNNt0ee	c0 oo th aa nn xx nn t0 ee sp
c0ooHHxxNN	c0 oo xx nn sp
c0ooHHxxnnii	c0 oo xx nn ii sp
c0ooLLllyvLLhhaaNN	c0 oo ll ll yv ll hh aa nn sp
c0ooLLmmyvNNs0vv	c0 oo ll mm yv nn s0 vv sp
c0ooMM	c0 oo mm sp
c0ooMMchvvllvvMM	c0 oo mm ch vv ll vv mm sp
c0ooMMt0vv	c0 oo mm t0 vv sp
c0ooNNc0eek0aa	c0 oo nn c0 ee k0 aa sp
c0ooNNc0eennxxNN	c0 oo nn c0 ee nn xx nn sp
c0oohhaaP0	c0 oo hh aa p0 sp
c0ook0eec0ii	c0 oo k0 ee c0 ii sp
c0ook0xxMMxxNN	c0 oo k0 xx mm xx nn sp
c0oommuulleek0iit0xxLLeek0ee	c0 oo mm uu ll ee k0 ii t0 xx ll ee k0 ee sp
c0oongllooee	c0 oo ng nn oo ee sp
c0oongllyuwa	c0 oo ng nn yu wa sp
c0oos0iiMMs0xxllvvP0k0ee	c0 oo s0 ii mm s0 xx ll vv p0 kk ee sp
c0ooyaK0t0ooLLii	c0 oo ya k0 tt oo ll ii sp
c0ooyaK0t0ooLLiivvSSt0aa	c0 oo ya k0 tt oo ll ii vv t0 tt aa sp
c0ooyaK0t0ooLLxxLL	c0 oo ya k0 tt oo ll xx ll sp
c0ooyonghhaak0iimmaaNN	c0 oo yo ng hh aa k0 ii mm aa nn sp
c0uuK0iiLL	c0 uu k0 ii ll sp
c0uuK0k0iiee	c0 uu k0 kk ii ee sp
c0uuK0k0iinnxxNN	c0 uu k0 kk ii nn xx nn sp
c0uuK0vv	c0 uu k0 vv sp
c0uuK0xxLL	c0 uu k0 xx ll sp
c0uuLL	c0 uu ll sp
c0uuMMxxlloossvv	c0 uu mm xx ll oo ss vv sp
c0uuNNt0aa	c0 uu nn t0 aa sp
c0uuNNt0aannxxNN	c0 uu nn t0 aa nn xx nn sp
c0uuc0ii	c0 uu c0 ii sp
c0uuiiNNee	c0 uu ii nn ee sp
c0uuk0iillxxLL	c0 uu k0 ii ll xx ll sp
c0uuk0iit0oo	c0 uu k0 ii t0 oo sp
c0uuk0oo	c0 uu k0 oo sp
c0uuk0oop0aaT0nnxxNN	c0 uu k0 oo p0 aa nn nn xx nn sp
c0uulloo	c0 uu ll oo sp
c0uummooK0c0vvK0xxlloo	c0 uu mm oo k0 cc vv k0 xx ll oo sp
c0uummuullxxnnxxNN	c0 uu mm uu ll xx nn xx nn sp
c0uummvvnnii	c0 uu mm vv nn ii sp
c0uummvvnniiee	c0 uu mm vv nn ii ee sp
c0uungeennxxNN	c0 uu ng ee nn xx nn sp
c0uungees0vv	c0 uu ng ee s0 vv sp
c0uunghhaaK0s0eengxxlloo	c0 uu ng hh aa k0 ss ee ng xx ll oo sp
c0uungs0iiMMxxlloo	c0 uu ng s0 ii mm xx ll oo sp
c0uungs0iihhaannxxNN	c0 uu ng s0 ii hh aa nn xx nn sp
c0uunnxxNN	c0 uu nn xx nn sp
c0uuvvSSt0aa	c0 uu vv t0 tt aa sp
c0uuwillxxLL	c0 uu wi ll xx ll sp
c0vv	c0 vv sp
c0vvC0mmvvK0ii	c0 vv nn mm vv k0 ii sp
c0vvC0mmvvK0iillxxLL	c0 vv nn mm vv k0 ii ll xx ll sp
c0vvK0vvt0oo	c0 vv k0 vv t0 oo sp
c0vvLLMMxxNNiit0xxLLxi	c0 vv ll mm xx nn ii t0 xx ll xi sp
c0vvLLt0eec0vvK0iiNN	c0 vv ll t0 ee c0 vv k0 ii nn sp
c0vvMMc0vvMM	c0 vv mm c0 vv mm sp
c0vvMMees0vv	c0 vv mm ee s0 vv sp
c0vvMMees0vvnnxxNN	c0 vv mm ee s0 vv nn xx nn sp
c0vvMMs0uunnaa	c0 vv mm s0 uu nn aa sp
c0vvMMxxNN	c0 vv mm xx nn sp
c0vvNNc0eeng	c0 vv nn c0 ee ng sp
c0vvNNchaallxxLL	c0 vv nn ch aa ll xx ll sp
c0vvNNcheec0vvK0iiNN	c0 vv nn ch ee c0 vv k0 ii nn sp
c0vvNNcheellxxLL	c0 vv nn ch ee ll xx ll sp
c0vvNNee	c0 vv nn ee sp
c0vvNNhhyv	c0 vv nn hh yv sp
c0vvNNiit0aa	c0 vv nn ii t0 aa sp
c0vvNNk0eet0wevvSSt0aa	c0 vv nn k0 ee t0 we vv t0 tt aa sp
c0vvNNk0iit0oo	c0 vv nn k0 ii t0 oo sp
c0vvNNmmuuNNc0vvK0iiNN	c0 vv nn mm uu nn c0 vv k0 ii nn sp
c0vvNNp0uullxxLL	c0 vv nn p0 uu ll xx ll sp
c0vvNNp0uuthvv	c0 vv nn p0 uu th vv sp
c0vvNNxi	c0 vv nn xi sp
c0vvP0hhaak0ee	c0 vv ph aa k0 ee sp
c0vvc0vvLLlloo	c0 vv c0 vv ll ll oo sp
c0vvccxxMM	c0 vv cc xx mm sp
c0vvllii	c0 vv ll ii sp
c0vvllvvt0aak0aannxxNN	c0 vv ll vv t0 aa k0 aa nn xx nn sp
c0vvmmaat0aa	c0 vv mm aa t0 aa sp
c0vvmmuuLLt0oollooK0	c0 vv mm uu ll t0 oo ll oo k0 sp
c0vvngk0yohhaaNN	c0 vv ng k0 yo hh aa nn sp
c0vvngk0yvLLhhaaNN	c0 vv ng k0 yv ll hh aa nn sp
c0vvngs0iiNN	c0 vv ng s0 ii nn sp
c0vvngs0iiNNxxLL	c0 vv ng s0 ii nn xx ll sp
c0vvngt0oolloo	c0 vv ng t0 oo ll oo sp
c0vvt0oo	c0 vv t0 oo sp
c0wellxxLL	c0 we ll xx ll sp
c0wvSSxxmmyvNN	c0 wv ss xx mm yv nn sp
c0xxK0	c0 xx k0 sp
c0xxLLk0vvP0k0iimmaaNN	c0 xx ll k0 vv p0 kk ii mm aa nn sp
c0xxLLk0vvuuMMxxLL	c0 xx ll k0 vv uu mm xx ll sp
c0xxngmmyvnghhaallyv	c0 xx ng mm yv ng hh aa ll yv sp
c0xxngoos0iiMMt0oo	c0 xx ng oo s0 ii mm t0 oo sp
c0xxngs0ooNNnnyvllaannxxNN	c0 xx ng s0 oo nn nn yv ll aa nn xx nn sp
ccaaK0ii	cc aa k0 ii sp
ccaaLLP0xxNN	cc aa ll p0 xx nn sp
ccaalliiS0hhaak0ee	cc aa ll ii s0 hh aa k0 ee sp
cciiLL	cc ii ll sp
cciiP0cciiLLhhaaNN	cc ii p0 cc ii ll hh aa nn sp
cciik0oo	cc ii k0 oo sp
cciillxxNNt0aak0oo	cc ii ll xx nn t0 aa k0 oo sp
ccooCHk0oo	cc oo t0 kk oo sp
ccooK0	cc oo k0 sp
ccooK0ii	cc oo k0 ii sp
ccooK0xxLL	cc oo k0 xx ll sp
ccwet0vvNN	cc we t0 vv nn sp
ccyvSSnnxxNNc0ii	cc yv nn nn xx nn c0 ii sp
chaa	ch aa sp
chaaC0aa	ch aa c0 aa sp
chaaC0aallaa	ch aa c0 aa ll aa sp
chaaMM	ch aa mm sp
chaaMMwep0aaTHxxLL	ch aa mm we p0 aa th xx ll sp
chaaMMxxlloo	ch aa mm xx ll oo sp
chaaMMyvhhaaNN	ch aa mm yv hh aa nn sp
chaac0iihhaannxxNN	ch aa c0 ii hh aa nn xx nn sp
chaaiinnxxNN	ch aa ii nn xx nn sp
